Nombre;D.O.;Dirección
Adega A Coroa;Valdeorras;https://www.google.com/maps/place/A+Coroa/@42.4016987,-7.0931604,15z/data=!4m5!3m4!1s0x0:0xf78f18662f0ad77d!8m2!3d42.4016987!4d-7.0931604
Adega ALaN de VaL;Valdeorras;https://www.google.com/maps/place/Alan+de+Val/@42.402338,-7.091948,17z/data=!3m1!4b1!4m5!3m4!1s0xd3080a8fa7584d3:0x3b80d3faaf9fc8d6!8m2!3d42.402338!4d-7.089754
Adega Avelina;Valdeorras;https://www.google.com/maps/place/Adega+Avelina/@42.8793836,-8.0087062,8z/data=!4m8!1m2!2m1!1savelina!3m4!1s0xd3086ce382e3e03:0x9ef98980cd24b075!8m2!3d42.420178!4d-7.037888
Adega da Pinguela;Valdeorras;https://www.google.com/maps/place/Adega+da+Pinguela/@42.3683739,-7.1221929,17z/data=!3m1!4b1!4m5!3m4!1s0xd307fb359301901:0xca83a7792a5e20c4!8m2!3d42.3683739!4d-7.1199989
Adega Docampo-Gacio;Valdeorras;https://www.google.com/maps/place/Bacelos+de+Biobra/@42.482527,-6.8627936,17z/data=!3m1!4b1!4m5!3m4!1s0xd309a41e76646bd:0xb775cce7eb4ca1b!8m2!3d42.482527!4d-6.8605996
Adega Melillas e Fillos;Valdeorras;https://www.google.com/maps/place/Adega+Melillas+e+fillos+S.L./@42.401343,-7.096588,17z/data=!3m1!4b1!4m5!3m4!1s0xd307e02d385ffb7:0x968cb71d0325b0bc!8m2!3d42.401343!4d-7.094394
Adega O Casal;Valdeorras;https://www.google.com/maps/place/Adega+O+Casal/@42.445927,-6.9295731,17z/data=!3m1!4b1!4m5!3m4!1s0xd3085b11899658f:0x3f789030643de57e!8m2!3d42.445927!4d-6.9273791
Adega O Cepado;Valdeorras;https://www.google.com/maps/place/Adega+O+Cepado+SL/@42.4445269,-6.9519816,17z/data=!3m1!4b1!4m5!3m4!1s0xd3084ee92cedda5:0x952b2962e0acb1ab!8m2!3d42.4445269!4d-6.9497876
Adega Quinta da Peza;Valdeorras;https://www.google.com/maps/place/Quinta+da+Peza/@42.4004638,-7.1203282,17z/data=!3m1!4b1!4m5!3m4!1s0xd307f7932824c5b:0xb054d7e67ab62006!8m2!3d42.4004638!4d-7.1181342
Adega Roandi;Valdeorras;https://www.google.com/maps/place/Adega+Roandi/@42.3532048,-5.5673355,8z/data=!4m8!1m2!2m1!1sRoandi!3m4!1s0xd3084a1c660b623:0xf35da2ff674f2474!8m2!3d42.4225429!4d-6.9411891
Bodegas la Tapada;Valdeorras;https://www.google.com/maps/place/Bodegas+la+Tapada/@42.4558837,-6.9255977,17z/data=!3m1!4b1!4m5!3m4!1s0xd30850691d22675:0x6128c04e5f0191ef!8m2!3d42.4558837!4d-6.9234037
Bodegas Avancia;Valdeorras;https://www.google.com/maps/place/Bodegas+Avancia/@42.4178847,-6.9883447,17z/data=!3m1!4b1!4m5!3m4!1s0xd30840ac787b901:0xdd631fb4c3333fb1!8m2!3d42.4178847!4d-6.9861507
Bodegas Carballal;Valdeorras;https://www.google.com/maps/place/Bodegas+Carballal/@42.4315248,-8.5055787,9z/data=!4m8!1m2!2m1!1sBodega+Carballal!3m4!1s0xd307e5b2a22d59b:0x7d554545a14d61cd!8m2!3d42.3744405!4d-7.1219507
Bodega Cooperativa Jesús Nazareno;Valdeorras;https://www.google.com/maps/place/Bodega+Cooperativa+Jesús+Nazareno/@42.4114972,-6.9731559,17z/data=!3m1!4b1!4m5!3m4!1s0xd308388a5e08819:0xdafbc390ca3349b2!8m2!3d42.4114972!4d-6.9709619
Bodega Cooperativa Virgen de las Viñas;Valdeorras;https://www.google.com/maps/place/Adega+Cooperativa+de+A+Rua/@42.3964111,-7.1042804,17z/data=!4m8!1m2!2m1!1sBodega+Cooperativa+Virgen+de+las+Viñas!3m4!1s0xd307e1a6fdc2471:0xe1f4c8b62d42aa1c!8m2!3d42.3965523!4d-7.1028828
Bodega Eladio Santalla;Valdeorras;https://www.google.com/maps/place/Adega+Hacienda+Ucediños/@42.420446,-6.976023,17z/data=!3m1!4b1!4m5!3m4!1s0xd308479cf8bfbff:0xa663661ea4fcfa70!8m2!3d42.420446!4d-6.973829
Bodega Enrique Mayo;Valdeorras;https://www.google.com/maps/place/ARENATU/@42.4077449,-7.0284928,17z/data=!3m1!4b1!4m5!3m4!1s0xd31ce8819ad92bb:0xff9e4c9efdee6b4c!8m2!3d42.4077449!4d-7.0262988
Bodega Francisco Fernández Álvarez;Valdeorras;https://www.google.es/maps/place/Bodegas+Francisco+Fernandez+Sousa/@42.3154999,-8.0657029,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff50f24311b17:0x993f93b268465ccf!8m2!3d42.315496!4d-8.0635142?hl=es
Bodega Godeval;Valdeorras;https://www.google.es/maps/place/Bodegas+Godeval/@42.434969,-7.0078147,17z/data=!3m1!4b1!4m5!3m4!1s0xd3084203bab4bb9:0xb4c5d9e34f4bffc7!8m2!3d42.4349651!4d-7.005626?hl=es
Bodega Ladera Sagrada;Valdeorras;"https://www.google.es/maps/place/Bodega+Ladera+Sagrada,+S.L./@42.3504832,-7.1569572;17z/data=!3m1!4b1!4m5!3m4!1s0xd307f1452ca3471:0x3261e024f5ffc342!8m2!3d42.3504793!4d-7.1547685?hl=es"
Bodega Mª Teresa Núñez Vega;Valdeorras;https://www.google.es/maps/place/Maria+Teresa+Nu%C3%B1ez+Vega/@42.3818253,-7.098892,17z/data=!3m1!4b1!4m5!3m4!1s0xd307fd4649dddbd:0xa2395f729786630!8m2!3d42.3818214!4d-7.0967033?hl=es
Bodega Rafael Palacios;Valdeorras;https://www.google.es/maps/place/Rafael+Palacios/@42.397391,-7.0942926,17z/data=!3m1!4b1!4m5!3m4!1s0xd3080a770fa4b91:0xb0526721c981aff!8m2!3d42.3973871!4d-7.0921039?hl=es
Bodega Sampayolo;Valdeorras;https://www.google.es/maps/place/Bodegas+Sampayolo/@42.3833609,-7.0988763,17z/data=!3m1!4b1!4m5!3m4!1s0xd307e26f3ba4657:0x57fdf19c3f94a36a!8m2!3d42.383357!4d-7.0966876?hl=es
Bodega Santa Marta;Valdeorras;https://www.google.es/maps/place/Adega+Santa+Marta/@42.3834704,-7.166728,12z/data=!4m8!1m2!2m1!1sBodega+Santa+Marta!3m4!1s0xd3086e90d8a0499:0xb326108923167d9d!8m2!3d42.4176293!4d-7.0421659?hl=es
Bodega Valdesil;Valdeorras;https://www.google.es/maps/place/Bodegas+Valdesil/@42.4305778,-7.0380159,17z/data=!3m1!4b1!4m5!3m4!1s0xd3086c442177f21:0x200cf7183caf3749!8m2!3d42.4305739!4d-7.0358272?hl=es
Bodegas D'Berna;Valdeorras;https://www.google.es/maps/place/Adegas+D'Berna./@42.4284793,-7.0403318,17z/data=!3m1!4b1!4m5!3m4!1s0xd3086c35be42315:0x4f8eac5272a813a8!8m2!3d42.4284754!4d-7.0381431?hl=es
Joaquin Rebolledo;Valdeorras;https://www.google.es/maps/place/Adega+Joaqu%C3%ADn+Rebolledo/@42.3966261,-7.0981527,17z/data=!3m1!4b1!4m5!3m4!1s0xd307e1db7ee3247:0x231cf552dc01baa5!8m2!3d42.3966222!4d-7.095964?hl=es
Pagos del Galir;Valdeorras;https://www.google.es/maps/place/Bodegas+Virxe+de+Galir+S.L./@42.4197929,-6.9464597,17z/data=!3m1!4b1!4m5!3m4!1s0xd30849fdcb86d53:0x660d89b437e02d27!8m2!3d42.419789!4d-6.944271?hl=es
Terriña;Valdeorras;https://www.google.es/maps/place/Adegas+e+Vi%C3%B1edos+Terri%C3%B1a/@42.3797202,-7.1316843,17z/data=!3m1!4b1!4m5!3m4!1s0xd307e5a3e3f129b:0x47a966c7d2ba22db!8m2!3d42.3797163!4d-7.1294956?hl=es
Viña Costeira;Valdeorras;https://www.google.es/maps/place/Vi%C3%B1a+Costeira+Bodega/@42.3248711,-7.9080506,10z/data=!4m8!1m2!2m1!1sVi%C3%B1a+Costeira!3m4!1s0xd2ff4d91bf569ad:0x93ae21b20f16ee10!8m2!3d42.305462!4d-8.119258?hl=es
Adega Cachín S.C.;Ribeira Sacra;https://www.google.com/maps/place/ADEGA+CACHIN,+SC/@42.3942599,-7.4459604,17z/data=!4m12!1m6!3m5!1s0xd300cae9c35c617:0x2facfa398bd5304b!2sADEGA+CACHIN,+SC!8m2!3d42.3942599!4d-7.4437717!3m4!1s0xd300cae9c35c617:0x2facfa398bd5304b!8m2!3d42.3942599!4d-7.4437717
Adega Do Mollon;Ribeira Sacra;https://www.google.com/maps/place/Adega+Do+Mollon/@42.4261603,-7.7421219,17z/data=!3m1!4b1!4m5!3m4!1s0xd30031f91f0326f:0xc16ffe8c679c1a0a!8m2!3d42.4261603!4d-7.7399332
Adegas Ponte da Boga;Ribeira Sacra;https://www.google.com/maps/place/Adegas+Ponte+da+Boga/@42.3864168,-7.437961,17z/data=!3m1!4b1!4m5!3m4!1s0xd300ed5092e08e9:0xd5f4f6ec4c7db8ea!8m2!3d42.3864129!4d-7.4357723
Adega Sollio;Ribeira Sacra;https://www.google.com/maps/place/Adega+Sollio/@42.3930891,-7.4768205,17z/data=!3m1!4b1!4m5!3m4!1s0xd300d7023ca5551:0x953a80c2ae08c51f!8m2!3d42.3930852!4d-7.4746318
Dominio do Bibei;Ribeira Sacra;https://www.google.com/maps/place/Dominio+do+Bibei/@42.310426,-7.2116437,17z/data=!3m1!4b1!4m5!3m4!1s0xd307e313ba4be41:0x3c4b1d3930e73365!8m2!3d42.310426!4d-7.209455
Adega Leiravella;Ribeira Sacra;https://www.google.com/maps/place/Adega+Leiravella/@42.3817225,-7.5236903,17z/data=!3m1!4b1!4m5!3m4!1s0xd300bff724b106f:0x4524fbfd0a6b3d5d!8m2!3d42.3817186!4d-7.5215016
Adega a Corga;Ribeira Sacra;https://www.google.com/maps/place/Adega+a+Corga/@42.340219,-7.2429817,17z/data=!4m8!1m2!2m1!1sA+Corga+s%2Fn,+Pi%C3%B1eiro+CP:+32780+A+Pobra+de+Trives!3m4!1s0x0:0x788541dd4ec5b693!8m2!3d42.3402191!4d-7.2407929
